run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
R1,0,saturated,,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
R1,1,saturated,,false,974.000,2.780,16.442,29.656,539.462,870.846,901.528,72,0,2072576,598016,34077,1,
R1,2,saturated,,false,1214.000,1.561,6.129,15.481,1436.156,1798.406,1840.887,2007,30975,6217728,1810432,49900,49,
R1,3,saturated,,false,1400.000,1.412,2.916,4.237,2316.390,2763.821,2804.847,4583,51414,6512640,1900544,49900,27,
R1,4,saturated,,false,1319.000,1.508,6.359,9.015,3249.326,3678.590,3707.410,7381,52808,6750208,1998848,49920,0,
R1,5,saturated,,false,1431.000,1.320,3.482,7.585,4190.965,4623.693,4664.155,10066,54426,7028736,2105344,49911,20,
R1,6,saturated,,false,1240.000,1.698,4.166,6.526,5159.911,5572.658,5622.449,12895,55802,7290880,2211840,49959,18,
R1,7,saturated,,false,1320.000,1.397,3.002,33.812,6179.955,6589.753,6633.350,15338,56893,7528448,2293760,49900,0,
R1,8,saturated,,false,1351.000,1.517,4.088,7.175,7098.570,7550.817,7580.277,18117,58373,7823360,2408448,49920,0,
R1,9,saturated,,false,1258.000,1.562,5.014,23.821,8074.968,8488.914,8552.041,20790,60031,8060928,2506752,49950,0,
R1,10,saturated,,false,1042.000,2.375,14.909,28.657,9009.939,9492.934,9535.374,23275,61732,8273920,2580480,49718,32,
R1,11,saturated,,false,1401.000,1.438,3.120,4.401,10001.176,10442.114,10485.837,25421,63190,8511488,2670592,49925,0,
R1,12,saturated,,false,1365.000,1.581,3.911,6.272,10985.174,11412.094,11459.765,28234,64406,8765440,2777088,49940,0,
R1,13,saturated,,false,1420.000,1.404,3.896,6.165,11898.830,12351.281,12395.364,31005,65786,9035776,2875392,49938,0,
R1,14,saturated,,false,1390.000,1.670,3.252,4.524,12868.135,13308.338,13349.134,33831,67375,9314304,2973696,49920,0,
R1,15,saturated,,false,1382.000,1.556,2.615,4.375,13808.836,14271.621,14313.144,36672,68320,9560064,3080192,49940,20,
R1,16,saturated,,false,1400.000,1.684,2.856,3.676,14809.702,15248.585,15291.728,39436,69467,9838592,3186688,49940,13,
R1,17,saturated,,false,1420.000,1.484,2.712,3.600,15768.071,16217.161,16256.130,42237,71122,10092544,3293184,49940,0,
R1,18,saturated,,false,1380.000,1.607,2.419,3.060,16759.443,17195.356,17236.695,45096,72287,10338304,3391488,49940,20,
R1,19,saturated,,false,1420.000,1.507,2.693,3.626,17727.314,18169.941,18213.070,47874,73667,10575872,3489792,49940,3,
R1,20,saturated,,false,1282.000,1.336,4.598,37.708,18780.806,19148.927,19187.909,50637,75087,10829824,3588096,49960,21,
R1,21,saturated,,false,1400.000,1.509,2.419,3.107,19686.774,20132.766,20174.886,53313,76389,11083776,3694592,49960,0,
R1,22,saturated,,false,1400.000,1.564,2.844,3.438,20652.686,21111.237,21130.136,56156,77789,11337728,3792896,49960,0,
R1,23,saturated,,false,1400.000,1.432,3.405,4.759,21618.932,22029.725,22074.076,58964,79189,11616256,3907584,49979,8,
