run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
M3,0,saturated,M3,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
M3,1,saturated,M3,false,1060.000,2.378,9.930,18.330,508.023,919.124,944.338,102,0,3088384,1187840,49960,26,
M3,2,saturated,M3,false,1422.000,1.347,3.007,14.363,1440.757,1890.281,1928.848,2332,30719,6258688,2367488,49940,38,
M3,3,saturated,M3,false,1400.000,1.372,2.374,14.669,2419.006,2858.816,2892.837,4798,51759,6545408,2506752,49960,15,
M3,4,saturated,M3,false,1399.000,1.428,2.240,3.976,3395.452,3827.194,3871.582,7864,53142,6791168,2637824,49960,0,
M3,5,saturated,M3,false,1400.000,1.452,2.135,2.494,4361.744,4794.325,4826.464,10520,54561,7053312,2760704,49970,2,
M3,6,saturated,M3,false,1320.000,1.715,2.616,3.207,5308.019,5754.501,5783.996,13604,55961,7315456,2891776,49980,27,
M3,7,saturated,M3,false,1328.000,1.661,3.294,9.098,6264.250,6694.597,6737.283,16016,57341,7553024,3014656,49962,15,
M3,8,saturated,M3,false,1381.000,1.471,2.452,3.145,7220.478,7669.464,7715.358,18713,58683,7831552,3137536,49811,19,
M3,9,saturated,M3,false,1340.000,1.644,2.548,3.412,8193.028,8633.452,8667.774,21461,60030,8077312,3260416,49980,24,
M3,10,saturated,M3,false,1340.000,1.690,2.466,3.037,9153.307,9601.301,9649.112,24152,61390,8347648,3383296,49581,0,
M3,11,saturated,M3,false,1286.000,1.551,4.739,12.728,10149.510,10578.821,10621.710,26826,62736,8601600,3506176,49354,0,
M3,12,saturated,M3,false,1285.000,1.615,3.324,13.767,11097.318,11552.061,11596.885,29423,64050,8822784,3629056,49886,0,
M3,13,saturated,M3,false,1360.000,1.565,2.792,8.003,12082.337,12519.726,12564.395,32011,65611,9068544,3743744,49320,21,
M3,14,saturated,M3,false,1326.000,1.746,2.434,2.816,13071.221,13493.528,13539.410,34726,66661,9306112,3866624,49314,13,
M3,15,saturated,M3,false,1374.000,1.581,2.369,2.917,14035.404,14484.342,14526.468,37420,67981,9551872,3997696,49320,0,
M3,16,saturated,M3,false,1385.000,1.656,2.642,2.882,15021.040,15460.902,15507.545,40051,69361,9838592,4120576,49317,15,
M3,17,saturated,M3,false,1359.000,1.693,2.835,4.487,16005.456,16449.519,16503.140,42834,70743,10076160,4243456,49329,0,
M3,18,saturated,M3,false,1361.000,1.693,2.643,3.146,16998.386,17430.246,17469.589,45547,72361,10330112,4366336,49306,0,
M3,19,saturated,M3,false,1360.000,1.691,2.721,3.778,17974.670,18406.309,18451.799,48312,73707,10567680,4505600,49320,15,
M3,20,saturated,M3,false,1362.000,1.665,3.047,4.314,18958.200,19411.256,19446.049,51036,75081,10813440,4628480,49320,0,
M3,21,saturated,M3,false,1212.000,1.653,7.163,18.536,19896.133,20395.342,20436.029,53815,76188,11059200,4751360,49488,0,
M3,22,saturated,M3,false,1326.000,1.591,2.981,11.068,20888.402,21320.676,21367.723,56320,77554,11296768,4874240,49380,13,
M3,23,saturated,M3,false,1301.000,1.572,4.007,12.512,21863.793,22278.655,22320.424,58902,78786,11526144,4988928,49359,21,
M3,24,saturated,M3,false,1427.000,1.563,2.397,2.766,22797.006,23242.903,23286.869,61615,80066,11796480,5136384,49339,0,
M3,25,saturated,M3,false,1347.000,1.750,2.611,3.108,23800.741,24237.836,24275.207,64428,81467,12042240,5251072,49348,0,
M3,26,saturated,M3,false,1346.000,1.726,2.613,3.418,24758.400,25217.164,25260.775,67154,82827,12288000,5373952,49373,20,
M3,27,saturated,M3,false,1320.000,1.645,3.065,4.810,25744.241,26188.581,26231.564,69847,84200,12566528,5505024,49380,21,
M3,28,saturated,M3,false,1380.000,1.711,2.643,3.629,26728.055,27170.166,27216.628,72543,85527,12804096,5636096,49378,11,
M3,29,saturated,M3,false,1389.000,1.613,2.913,6.316,27722.688,28149.174,28191.937,75278,86887,13049856,5742592,49325,0,
M3,30,saturated,M3,false,1241.000,1.821,3.105,32.778,28698.323,29126.757,29167.629,78000,88241,13295616,5865472,49400,20,
M3,31,saturated,M3,false,1307.000,1.613,5.141,11.232,29657.597,30095.761,30138.880,80577,89559,13508608,5996544,49395,1,
M3,32,saturated,M3,false,1281.000,1.658,2.962,26.802,30621.503,31076.873,31118.039,83199,90859,13737984,6086656,49421,16,
M3,33,saturated,M3,false,1307.000,1.603,3.195,21.712,31633.182,32058.050,32094.911,85730,92166,13991936,6217728,49380,12,
M3,34,saturated,M3,false,1380.000,1.690,2.873,3.411,32594.372,33039.081,33081.857,88454,93432,14270464,6340608,49380,0,
M3,35,saturated,M3,false,1342.000,1.697,2.705,3.812,33590.730,34021.835,34067.534,91200,94812,14499840,6455296,49380,0,
M3,36,saturated,M3,false,1345.000,1.804,2.799,3.515,34564.929,35020.340,35054.885,93913,96154,14737408,6561792,49391,25,
M3,37,saturated,M3,false,1359.000,1.727,2.688,3.368,35552.111,35993.645,36036.792,96627,97514,15007744,6692864,49400,0,
M3,38,saturated,M3,false,1380.000,1.691,2.712,3.290,36515.793,36971.095,37017.129,99357,98878,15269888,6807552,49400,22,
M3,39,saturated,M3,false,1380.000,1.687,2.947,4.610,36939.873,37169.771,37196.955,102095,100258,15523840,6938624,49359,4,
M3,40,saturated,M3,false,1364.000,1.763,2.801,4.395,36958.279,37169.729,37193.488,104871,101597,15761408,7053312,49386,20,
M3,41,saturated,M3,false,1300.000,1.699,2.843,14.034,37007.276,37254.470,37294.703,107598,102983,16007168,7176192,49424,5,
M3,42,saturated,M3,false,1364.000,1.431,2.808,18.189,37043.534,37275.434,37297.871,110246,104322,16179200,7274496,49417,3,
M3,43,saturated,M3,false,1320.000,1.672,2.648,10.710,37100.217,37323.321,37349.200,112951,105683,16490496,7413760,49420,0,
M3,44,saturated,M3,false,1358.000,1.732,2.391,2.615,37074.147,37298.673,37321.522,115681,107517,16719872,7528448,49440,20,
M3,45,saturated,M3,false,1282.000,1.747,2.856,3.471,37109.288,37323.191,37355.289,118349,108621,16982016,7651328,49421,6,
M3,46,saturated,M3,false,1401.000,1.536,2.370,2.968,37115.199,37323.124,37353.527,120977,109902,17227776,7774208,49379,0,
M3,47,saturated,M3,false,1360.000,1.587,2.977,4.884,37082.375,37293.991,37309.308,123655,111006,17481728,7897088,49420,23,
M3,48,saturated,M3,false,1341.000,1.752,2.549,3.240,37055.448,37273.540,37294.542,126387,112407,17752064,8019968,49440,15,
M3,49,saturated,M3,false,1336.000,1.854,2.529,3.575,37030.883,37249.518,37272.479,129076,113768,17973248,8134656,49427,0,
M3,50,saturated,M3,false,1304.000,1.803,2.756,3.165,37002.136,37229.532,37248.929,131757,115343,18243584,8249344,49460,18,
M3,51,saturated,M3,false,1264.000,1.791,2.843,13.955,37039.680,37278.952,37308.553,134378,116428,18464768,8364032,49496,2,
M3,52,saturated,M3,false,1368.000,1.425,3.675,7.858,37079.203,37294.033,37341.796,136955,117728,18726912,8486912,49412,0,
M3,53,saturated,M3,false,1340.000,1.603,2.495,14.794,37104.768,37317.871,37334.363,139635,119012,18964480,8609792,49439,0,
M3,54,saturated,M3,false,1362.000,1.731,2.502,3.245,37094.547,37324.865,37339.580,142393,121059,19202048,8732672,49459,23,
M3,55,saturated,M3,false,1383.000,1.683,2.459,3.055,37102.896,37311.440,37339.673,145136,122682,19447808,8855552,49417,0,
M3,56,saturated,M3,false,1380.000,1.652,2.821,7.097,37084.898,37304.259,37343.166,147907,123825,19693568,8970240,49440,0,
M3,57,saturated,M3,false,1361.000,1.797,2.575,3.095,37083.321,37301.541,37327.849,150543,125185,19955712,9101312,49439,1,
M3,58,saturated,M3,false,1340.000,1.777,2.538,3.161,37078.342,37290.546,37306.554,153281,126546,20201472,9216000,49464,20,
M3,59,saturated,M3,false,1340.000,1.830,2.742,3.322,36997.863,37211.507,37237.437,155985,127886,20447232,9338880,49480,20,
M3,60,saturated,M3,false,1360.000,1.658,2.657,3.311,36959.081,37180.550,37211.188,158688,129246,20676608,9461760,49460,6,
M3,61,saturated,M3,false,1307.000,1.369,2.886,19.164,36956.843,37217.050,37260.395,2636,131220,20791296,9568256,49515,13,2026-08-02T20:26:33.839467Z
M3,62,saturated,M3,false,1281.000,1.573,3.344,21.893,37041.653,37263.864,37304.883,5232,132527,20987904,9658368,49479,18,2026-08-02T20:26:33.839467Z
M3,63,saturated,M3,false,1302.000,1.550,2.870,20.529,37122.618,37327.519,37346.800,7767,133768,21135360,9756672,49480,5,2026-08-02T20:26:33.839467Z
M3,64,saturated,M3,false,1341.000,1.610,2.426,14.570,37101.293,37311.119,37337.190,10456,135366,21430272,9863168,49460,1,2026-08-02T20:26:33.839467Z
M3,65,saturated,M3,false,1340.000,1.609,2.498,3.043,37102.336,37319.639,37339.964,13148,136726,21635072,9986048,49480,20,2026-08-02T20:26:33.839467Z
M3,66,saturated,M3,false,1349.000,1.662,2.303,2.861,37106.431,37327.105,37343.919,15872,137811,21954560,10117120,49500,0,2026-08-02T20:26:33.839467Z
M3,67,saturated,M3,false,1353.000,1.735,2.439,2.875,37094.739,37306.311,37334.891,18574,139154,22118400,10240000,49480,0,2026-08-02T20:26:33.839467Z
M3,68,saturated,M3,false,1360.000,1.693,2.290,2.650,37040.181,37262.910,37292.462,21297,140513,22446080,10371072,49500,0,2026-08-02T20:26:33.839467Z
M3,69,saturated,M3,false,1320.000,1.703,2.313,2.617,37007.082,37217.012,37251.922,24010,141873,22609920,10502144,49500,11,2026-08-02T20:26:33.839467Z
M3,70,saturated,M3,false,1343.000,1.697,2.568,6.228,36982.400,37188.531,37205.104,26658,143194,22904832,10625024,49489,0,2026-08-02T20:26:33.839467Z
M3,71,saturated,M3,false,1378.000,1.251,2.798,14.873,36946.650,37179.465,37197.026,29467,144576,23109632,10756096,49540,19,2026-08-02T20:26:33.839467Z
M3,72,saturated,M3,false,1181.000,1.713,4.620,50.517,36989.995,37275.288,37322.168,31891,144576,23298048,10854400,49580,19,2026-08-02T20:26:33.839467Z
M3,73,saturated,M3,false,1283.000,1.665,2.959,11.246,37138.512,37344.975,37367.974,34229,145934,23592960,10985472,49520,20,2026-08-02T20:26:33.839467Z
M3,74,saturated,M3,false,1364.000,1.628,2.424,3.437,37147.108,37355.479,37376.155,36871,147738,23846912,11116544,49478,2,2026-08-02T20:26:33.839467Z
M3,75,saturated,M3,false,1347.000,1.679,2.653,3.139,37141.724,37352.718,37382.332,39588,149060,24100864,11239424,49519,0,2026-08-02T20:26:33.839467Z
M3,76,saturated,M3,false,1363.000,1.584,2.568,3.915,37138.106,37353.532,37380.079,31415,65661,8929280,3579904,49501,4,2026-08-02T20:26:33.839467Z
M3,77,saturated,M3,false,1350.000,1.611,2.654,3.363,37157.020,37375.567,37404.940,34156,67021,9191424,3702784,49523,19,2026-08-02T20:26:33.839467Z
M3,78,saturated,M3,false,1340.000,1.717,2.821,3.877,37154.399,37384.145,37405.371,36874,68384,9428992,3825664,49540,0,2026-08-02T20:26:33.839467Z
M3,79,saturated,M3,false,1400.000,1.630,2.595,4.714,37119.223,37342.252,37384.526,39587,69741,9682944,3956736,49509,15,2026-08-02T20:26:33.839467Z
M3,80,saturated,M3,false,1362.000,1.612,2.593,3.610,37103.532,37311.356,37336.336,42375,71101,9920512,4087808,49527,19,2026-08-02T20:26:33.839467Z
M3,81,saturated,M3,false,1307.000,1.491,3.646,16.197,37128.880,37336.951,37365.861,45137,72488,10133504,4202496,49557,19,2026-08-02T20:26:33.839467Z
M3,82,saturated,M3,false,1327.000,1.498,3.495,11.192,37123.246,37334.635,37350.164,47760,73828,10403840,4341760,49520,14,2026-08-02T20:26:33.839467Z
M3,83,saturated,M3,false,1383.000,1.453,2.987,7.524,37092.471,37301.528,37323.627,50442,75372,10633216,4464640,49539,20,2026-08-02T20:26:33.839467Z
