run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
M3,0,saturated,M3,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
M3,1,saturated,M3,false,768.000,3.531,20.285,30.551,447.460,800.025,821.641,180,255,1712128,679936,24540,26,
M3,2,saturated,M3,false,1276.000,1.721,5.044,13.488,1322.611,1720.559,1761.560,1751,31999,5963776,2252800,49376,4,
M3,3,saturated,M3,false,1354.000,1.535,3.330,14.275,2238.948,2652.201,2682.602,4246,51440,6414336,2433024,49415,1,
M3,4,saturated,M3,false,1362.000,1.530,2.580,3.133,3155.952,3572.878,3618.187,7041,52833,6627328,2555904,49419,0,
M3,5,saturated,M3,false,1416.000,1.508,2.902,16.048,4137.552,4577.544,4610.690,9784,54198,6905856,2686976,49356,0,
M3,6,saturated,M3,false,1307.000,1.805,3.217,4.504,5082.449,5528.906,5576.286,12568,55552,7143424,2809856,49455,21,
M3,7,saturated,M3,false,1438.000,1.527,3.054,4.456,6090.381,6503.937,6549.075,15251,56958,7405568,2932736,49355,0,
M3,8,saturated,M3,false,1342.000,1.876,3.015,3.806,7055.630,7486.320,7524.292,18102,58296,7692288,3072000,49418,0,
M3,9,saturated,M3,false,1266.000,2.083,3.902,15.527,8051.829,8423.310,8452.333,20746,59701,7921664,3194880,49420,0,
M3,10,saturated,M3,false,1238.000,1.822,3.469,4.873,8955.104,9359.059,9405.797,23281,60969,8192000,3309568,49420,3,
M3,11,saturated,M3,false,1326.000,1.559,4.299,7.669,9861.935,10324.384,10360.611,2623,63124,8192000,3407872,49440,8,2026-08-02T19:37:32.398079Z
M3,12,saturated,M3,false,1366.000,1.327,2.586,7.347,10840.308,11271.489,11314.089,5196,64468,8192000,3489792,49397,5,2026-08-02T19:37:32.398079Z
M3,13,saturated,M3,false,1322.000,1.516,3.270,18.964,11783.912,12180.827,12230.052,7884,65791,8355840,3579904,49460,19,2026-08-02T19:37:32.398079Z
M3,14,saturated,M3,false,1224.000,1.892,5.430,10.426,12741.901,13125.617,13168.409,10501,66921,8552448,3686400,49459,4,2026-08-02T19:37:32.398079Z
M3,15,saturated,M3,false,1383.000,1.546,2.878,3.678,13642.931,14088.051,14139.288,13072,68399,8839168,3792896,49457,18,2026-08-02T19:37:32.398079Z
M3,16,saturated,M3,false,1303.000,1.820,2.900,3.303,14650.690,15071.596,15116.065,15772,69780,9035776,3923968,49437,20,2026-08-02T19:37:32.398079Z
